,index,Unnamed: 0,Nom,Description_type,Prix_Originel,Prix_Reduc,Voyageurs,Chambres,Lits,Salles_de_Bain,Note,Nb_com,Logement_Entier,Arrivée_irréprochable,Hôte_expérimenté,Excellente_communication,Accueil_unique,Parfaitement_propre,Propre et rangé,Idéalement_situé,Annulation_gratuite_pendant_48_heures,Annulation_gratuite_longue,Arrivée_autonome,Superhost_list,Wi-Fi,WiFi_portable,lave_linge, Espace_travail_ordi,Equipement_base,Chauffage,Fer_à_Repasser,Télévision,Eau_chaude,Table_à_langer,Chaise_haute,Lit_pour_bébé,Livres_et_jouets_pour_enfants,Parking_payant,Parking_gratuit,Chargeur_EV,Salle_de_sport,Jacuzzi,Ascenseur,Piscine,Cuisine,Réfrigérateur,Vaisselle_et_couverts,Four_à_micro_ondes,Petit_déjeuner,four,Lave_vaisselle,Cafetière,Cuisinière,Ustensiles_de_cuisine_de_base,Acceuil_Personnel,Entrée_privée,Salon_privé,Boîte_à_clé_sécurisée,Clés_remises_par_hôte,Jardin,Sèche_cheveux,Cintres,Shampooing,Gel_douche,Oreillers_et_couvertures,Draps,Porte_de_la_chambre_avec_verrou,Dépôt_de_bagages_autorisé,Séjours_longue_durée_autorisé,Détecteur_de_fumée,Détecteur_de_monoxyde_de_carbone,Extincteur,Kit_de_premiers_secours,Fête,Fumeur,Animaux,Bébés,Nb_équipement,Description,Lien
357,58,58,Charmant Studio au cœur du Marais,Vous aurez le logement (appartement) rien que pour vous.,60€,60€,2 voyageurs,Studio,1 lit,1 salle de bain,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Afficher les 11 équipements,"Numéro d'enregistrement
7510404548582",https://www.airbnb.fr/rooms/43645843/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210739_5zzc%2BJQLwHXOjO2U&guests=1
359,60,60,Edgar Suites Bellan - Suite appartement - Louvre,Vous aurez le logement (appartement avec services hôteliers) rien que pour vous.,85€,85€,4 voyageurs,1 chambre,2 lits,1 salle de bain,"4,79", (19),1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,Afficher les 26 équipements,"Appartement au 4ème étage (sans ascenseur) dans une résidence Edgar Suites de 12 logements, localisation exceptionnelle en plein coeur du quartier piéton de Montorgueil, à moins de 10min à pied du Louvre ou du Marais. Un véritable quartier parisien à proximité des sites touristiques :)

L'appartement offre la parfaite alliance entre un boutique-hôtel avec services et un pied-à- terre parisien confortable, décoré avec soin, avec tout le confort nécessaire pour un séjour court terme à Paris.

Le logement
Vous y retrouverez une propreté digne d’un hôtel, une excellente literie, de nombreux rangements, du linge de maison et serviettes de qualité, des produits de toilettes et un équipement complet de cuisine et électroménager (Machine Nespresso avec capsules, bouilloire avec sachets de thé, micro-ondes, lave-vaisselle, lave-linge, grille-pain…).

Nos voyageurs sont des familles, des groupes, des professionnels.

Chez Edgar Suites, nous mettons tout en oeuvre pour que votre séjour soit confortable et que la communication soit la plus fluide possible avec nos guests.

Edgar et son équipe ont hâte de vous accueillir :)

Numéro d'enregistrement
7510204173209",https://www.airbnb.fr/rooms/36905545/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210772_0xLH%2BH%2FaM48ZifpG&guests=1
360,61,61,☆☆ Sunny apartment with Balcony & Parking ☆☆,Vous aurez le logement (appartement) rien que pour vous.,98€,65€,2 voyageurs,1 chambre,1 lit,1 salle de bain,"4,33", (9),1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Afficher les 18 équipements,"Sunny apartment in Paris ❤️

You will enjoy this lovely Parisian apartment with Parking and Balcony, close of restaurants, bistros, shopping and everything you need !

The apartment is 10 minutes by foot from Père Lachaise.

Le logement
Hello ! This is a lovely apartment of 50m², located in the 11th arrondissement. The apartment is on the 2nd floor of a classic building with elevator. The apartment is fully furnished with a heating, internet, washing-machine etc.

Numéro d'enregistrement
7511104207010",https://www.airbnb.fr/rooms/39572744/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210778_1Xj%2BNadJzEJQvPiG&guests=1
361,62,62,B COZY DÉSINFECTÉ rueJaures Center Paris FAST WIFI,Vous aurez le logement (appartement) rien que pour vous.,43€,39€,2 voyageurs,Studio,1 lit,1 salle de bain,"4,38", (8),1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,Afficher les 25 équipements,"DÉSINFECTÉ avec désinfectant qui tue 99.9% des bactéries et 99.9% des virus. Draps lavés à 90 degrés, lavage tue toutes bactéries et virus.

Modern, fully equipped kitchen with washing machine (laundry soap provided). Brand new extractor hood with light, brand new microwave oven, frying pan, sauce pan, induction stove top, refrigerator, kettle, dishes, cutlery, mugs, wine glasses…everything has been prepared for you!
Television with many channels.

Le logement
GROUND FLOOR, super easy to pop in and out of the apartment. Check in starts at 2:00pm, before that, the previous guests are occupying the listing.
This apartment is so cosy, you’ll spend a restful night in my home. Located in the heart of Paris, this apartment (near Place de la République) provides excellent transport networks to all parts of Paris and is ideal for exploring the capital. It is situated a stone’s throw from the trendy Canal Saint Martin area. On foot or on the cycle paths, Bastille, the Marais and Parc de la Villette are quickly accessible. Buttes Chaumont Park is 20 minutes’ walk away. Opposite the apartment, you will have the beautiful Villemin park where people sunbathe during summer time, even in bikinis sometimes! The apartment is located on the ground floor so there is no need to climb up the stairs like in most Paris apartments. You can just run straight outside and enjoy your day. We are just 2 minutes’ walk from Gare de l’Est (to go to Germany) and Gare du Nord (Eurostar to London).

Excellent cafés, bars, restaurants, caterers, supermarket, and bakeries in the immediate area.

The building is safe and is secured by two access codes.

Transport access: Metro lines 4, 5, 7. It is a central stop for night buses and you can go anywhere in Paris even after the metro has stopped around midnight. If you walk 10 minutes to Gare du Nord, you even have a direct line to Charles de Gaulle airport, the fast train is only 3 stops away!

The apartment is small, but is ingenious. The bed slides from under the kitchen and the apartment is fully equipped! There’s a microwave oven, induction stove top, a kettle (with tea and coffee), an extractor hood, a fridge and a washing machine. The bed is a real bed on wheels and the size is 190x140 cm (54 in × 75 in) like a Double or Full Bed size.

Just come with a small luggage and you will enjoy a stay in a real Parisian apartment with all comforts provided. The apartment is very quiet, but located in a vibrant district.

The apartment is very close to taxi ranks, many buses, metro lines, and there are 40 rentable cities bikes (Velib’) on my street because the location is very popular.
-",https://www.airbnb.fr/rooms/41028879/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210783_PfkeYukYDY7eO3em&guests=1
362,63,63,"Arc de Triomphe ,Eiffel Tower at one step❤️!!!",Vous aurez le logement (appartement) rien que pour vous.,89€,55€,4 voyageurs,1 chambre,2 lits,1 salle de bain,"4,44", (148),1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Afficher les 18 équipements,"Exceptional location and ideal for 4.Apartement decorated with taste on one of the most beautiful avenue in the city, near the mythic Arc de Triomphe
In a beautiful Haussmanian building of high standing in the heart of the chic and bourgeois district of 16th arrondissement.
A stone's throw from prestigious Paris neighborhoods: Champs Elysees,Arc de Triomphe, Eiffel Tower, the majestic Louis Vuitton Foundation and .At the bottom of any trade, markets and all that you can need to enjoy your stay!

Le logement
Make the best of your stay in one of the most beautiful cities of the world.This apartment is the perfect mix of space and cosines. It's light-filled rooms will make you feel in your home away from home, a harbor of peace in the heart of Paris where you can completely relax in a lovely stylish, open and airy space after a long day of sight-seeing.",https://www.airbnb.fr/rooms/25706418/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210789_kVvefDubOejuW1Nm&guests=1
364,65,65,"Paris Centre ""Marais"" Famille - 3 Personnes",Vous aurez le logement (appartement) rien que pour vous.,53€,45€,3 voyageurs,Studio,2 lits,1 salle de bain,"4,60", (92),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,Afficher les 25 équipements,"Petit appartement confortable de 20 mètres carrés au coeur de Paris, ""Le Marais"".
Appartement au rez-de-chaussée.

L'un des meilleurs quartiers avec tout ce dont vous avez besoin, boulangerie, supermarché, commerces, laverie...

Parfait pour 2 adultes et 1 enfant

* Serviettes et draps propres fournis
* Ménage fait au préalable
* Wifi inclus dans le prix

Attention / Arrivée après 19h30 supplément de 30 euros
Attention / Arrivée après 21h30 supplément de 50 euros

Le logement
Pour vous rassurez voici notre méthode de nettoyage :
1. l'appartement est bloqué 24h-48h avant votre arrivée pour aérer toutes les pièces.
2. Notre équipe de ménage utilise des produits écologique et désinfectant
3. Nous changeons les draps, serviettes entre chaque réservation et recevons le linge par transporteur
4. Vous aurez à disposition des produits de ménage pendant votre séjour

Appartement de 20 mètres carrés situé au rez de chaussé.

Accès des voyageurs
Tout l'appartement sera à votre disposition.

Autres remarques
Merci de faire très attention à l'appartement, c'est quelque chose de très précieux pour moi. Il est tout à vous pendant votre séjour alors traitez le comme votre propre maison. Lors de votre départ merci de laisser l'appartement aussi propre que possible et de sortir les poubelles . J'apprécierai beaucoup !

Numéro d'enregistrement
7510401326895",https://www.airbnb.fr/rooms/21832208/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210804_S11eDK%2BiJZsKHo%2F0&guests=1
366,67,67,SPACIOUS & COSY LOFT 10 MIN AWAY FROM PARIS CENTER,Vous aurez le logement (loft) rien que pour vous.,75€,75€,3 voyageurs,2 chambres,2 lits,1 salle de bain,"4,83", (12),1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Afficher les 22 équipements,"Venez découvrir mon grand T3 (70 m2) style loft aux portes de Paris.
Situé à Vincennes, l'immeuble est littéralement situé devant l'entée de la station de metro Bérault (Ligne 1), proche du bois de Vincennes et du beau parc floral (5 minutes à pied).
Cet appartement tout équipé peut accueillir jusqu'à 3 personnes, il est situé au 7ème étage (avec ascenseur jusqu'au 6ème étage).
Il est entouré de supermarchés, boutiques, boulangeries, épiceries, tabac, banque, restaurants, bars...
A très bientôt!

Le logement
Vous pourrez profiter d’un logement spacieux, sans vis-à-vis et lumineux. Vous apprécierez sûrement la belle hauteur sous plafond et les poutres apparentes. Cet appartement est un lieux de vie entièrement ouvert et très agréable mais qui ne conviendra pas forcément à tout le monde de par la promiscuité entre les différents espaces (chambres et salle de bain ouvertes). Idéale pour couples, séjour entre amis ou couple avec enfant. L'accès à la chambre principale est plutôt mansardé.
Cet appartement de par sa localisation en dernier étage bénéficie d'une vue complètement dégagée avec aucun vis à vis sur les immeubles voisins. Une belle vue sur la tour Eiffel à observer depuis le balcon.
L’appartement est composé de :
- d'une cuisine équipée ( Four, Réfrigérateur, congélateur, plaque de cuisson à induction, bouilloire, grille-pain et tout le nécessaire pour cuisiner comme si vous étiez chez vous....)
- d'un grand salon lumineux avec un écran plat TV de 42 pouces et accès au chaines du cable.
- d'une salle à manger/ table d'hôte pouvant accueillir 8 personnes.
- un balcon au 7ème étage pour déjeuner ou boire un verre en fin de journée avec une table et deux chaises sans vis, qui bénéficie d'une vue dégagée sur la tour Eiffel.
- deux chambres dont une avec un lit queen size (160*200cm) et l'autre avec un lit double (140*200cm)
- d'une vaste salle de bain ouverte avec WC séparés (serviettes de bain, sèche-cheveux à disposition)
Vous aurez accès à un lave linge ainsi qu’à un fer à repasser.
Pour vous accueillir dans un vrai confort, les lits seront faits, des serviettes et savons d'accueil seront mis à votre disposition.
L'appartement est équipé du chauffage individuel.
Les voyageurs auront accès à un WIFI Haut débit (fibre optique) et à la télévision (vous aurez même accès à Netflix),
Pour votre sécurité des détecteurs de fumée y sont installés.",https://www.airbnb.fr/rooms/39459780/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210814_1hiRpaP9CleyU1Sf&guests=1
367,68,68,Studio Marais HyperCentre,Vous aurez le logement (appartement) rien que pour vous.,51€,51€,2 voyageurs,Studio,1 lit,1 salle de bain,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,Afficher les 15 équipements,"Studio situé dans le Marais à 3 minutes des quais de Seine, idéal l'été pour découvrir Paris. Très bien placé, vous êtes à 4 minutes de la Place des Vosges, à 5 minutes du métro Saint Paul et à 5 minutes de la Place de la Bastille.
Le Studio se trouve au 1er étage d'une résidence sécurisée. Il y a :
- 1 grand lit, idéal pour un couple
- 1 pièce entrée avec alcôve
- 1 Cuisine tout équipée (four)
- 1 Salle de bain avec wc, équipée (machine à laver/sèche linge)",https://www.airbnb.fr/rooms/43597404/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210819_RzD6I7Ju5LBPDdRP&guests=1
369,70,70,Studio cosy à Paris,Vous aurez le logement (appartement en résidence) rien que pour vous.,45€,45€,2 voyageurs,Studio,1 lit,1 salle de bain,"4,91", (46),1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,Afficher les 27 équipements,"Au dernier étage d'un immeuble de 3 étages, studio refait à neuf. Proche des métros et à 15 minutes à pied du Champs de Mars et de la tour Eiffel. Idéal pour découvrir Paris

Numéro d'enregistrement
7511502325494",https://www.airbnb.fr/rooms/28338939/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210828_eBZR9rNlvtzCKnzF&guests=1
371,72,72,Charmant studio à Marx Dormoy - Ménage professionnel,Vous aurez le logement (appartement) rien que pour vous.,59€,36€,2 voyageurs,Studio,1 lit,1 salle de bain,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,Afficher les 18 équipements,"Soyez les bienvenus dans mon charmant studio de 25 mètres carrés situé dans le 18ème arrondissement de Paris. Il est localisé au 6ème étage. Le logement peut accueillir jusqu'à 2 personnes. Il est idéalement placé à proximité des gares de l'Est et du Nord et à 15 min à pied de Montmartre. Vous allez aussi pouvoir profiter de jolies promenades au bord du canal de l'Ourq. Mon quartier est animé et dynamique ! Profitez bien du charme de Paris
Un ménage professionnel est réalisé avant chaque séjour.

Le logement
Ce logement est nettoyé et préparé par des professionnels, voir ci dessous pour plus de détails
Le logement est tout équipé et conviendra parfaitement à un séjour touristique ou professionnel à Paris. Il sera très apprécié pour sa proximité avec les lieux préférés des locaux. N’hésitez pas à me demander des bonnes adresses ;)
Le logement possède 1 lits du type suivant : 1 lit double.
Il est en général très apprécié des voyageurs pour sa luminosité, son cachet et son design.

Le logement possède les équipements suivants :
Four, Micro-onde, Fer à repasser, Machine à laver
Dans ce logement, les questions sanitaires sont au centre des priorités. Voici le détails des mesures prises pour chaque voyageur afin de vous permettre de voyager en sécurité :

L’agent d’entretien en charge de préparer le logement pour votre arrivée sera entièrement protégé par le port d’un masque et de gants pendant l'entièreté de sa prestation

Des produits virucides de normes EN 14476 seront utilisés pour désinfecter complètement l’appartement avec une attention toute particulière sur les surfaces, les clés, les poignées de portes et les interrupteurs.

Le linge de maison sera fourni par un professionnel ayant recours au nettoyage industriel à des températures très élevées.

Accès des voyageurs
Les voyageurs seront les seuls à avoir accès à l'appartement durant leur location.

Numéro d'enregistrement
7511804455651",https://www.airbnb.fr/rooms/42396009/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210838_h86wLXPgHwv4BUnF&guests=1
372,73,73,Studio 30m2 Paris 20e Père Lachaise,Vous aurez le logement (appartement) rien que pour vous.,49€,44€,2 voyageurs,Studio,1 lit,"1,5 salle de bain","4,66", (204),1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,Afficher les 30 équipements,"Le logement
As I travel quite often, I rent out my studio - the flat I really live in. It's in a lovely downtown Parisian neighborhood, Gambetta, 6 minutes walk from the famous Père Lachaise cemetery. My 30 m2 studio in a 1920's building is very sunny, has a separated kitchen (brand-new fridge & washing machine; gas oven, kettle, toaster, citrus press), bathroom with bath tub, separated toilets. The main room, usually full of light - and with blinds if you need them - has a sofa-bed with Simmons mattress and an extra padding sleeping two. And a new fan/ventilator for the very hot summer days. Elevator in the building. The entrance to the building is secured by a 'badge' so only people who live there can enter the building. Bedding, sheets and towels are provided. A fast WiFi internet connection is included in the price.There is a typically Parisian street market with fresh produce (vegetables, fruits, cheese) every Wednesday and Saturday morning. A huge supermarket (Monoprix) with a wide range of organic options is just around the corner, as well as one of the finest bakeries in town. The area is full of smaller supermarkets (some very cheap ones) and shops (a special cheese shop and an excellent chocolate manufacturer, just to name the two). The MK2 cinema on place Gambetta shows films in their original version with subtitles, so mostly in English. If you're fluent in French, there are a famous national and several alternative theaters in the neighborhood. Not to forget all the cafés & eateries. In short, you'll be able to feel the vibrant and 'real' Parisian life outside your door (URL HIDDEN) flat is cleaned with environmentally friendly cleaners only. Sustainability is part of my everyday life philosophy.If you have any kind of allergies (feathers, gluten, lactose), please let me know in advance and I'll do my best to meet your needs. If you are vegan, I'll be more than happy to provide you with specific groceries. I am a vegetarian myself and could give you suggestions of the best veggy places in Paris. As a non-smoker, I expect people not to smoke at home, and to be careful with my place. Feel free to contact me if you need more information of any kind.You can reach my place from CDG airport in 1h and from Orly airport in 1h10 using public transportation, and in 20 min by taxi (when no traffic jams).Metro stations Pelleport (line 3b, 1-min-walk away from home), Gambetta (line 3 & 3b, a 5-min-walk away ) or Télégraphe (line 11, a 10-min-walk away). Directly from Gambetta, you'll reach République in 5 min, Opéra in 14 min. Changing once : Louvre in 25 min, les Champs-Elysées in 30 min.From Télégraphe, you get to Beaubourg/Hôtel de Ville and Châtelet in 12-13 min.Downtown Paris (zone 1 for the public transportation system) means there are, besides three metro lines, several city bus lines running directly to all the important touristic sites. I always encourage my guests to take the busses as it's a lovely way to explore the city, watching neighborhoods connect and change, making the discovery of Paris truly amazing. Among many other Paris city guides and maps and specific schedules for the airport suburban trains, I provide a very detailed guide for all the busses running through Paris, with each stop clearly marked.Bus 69 takes you directly to the Louvre, the Orsay Museum, Invalides, the Eiffel Tower and rides alongside the Seine to all those breathtaking spots Paris is famous for.Bus 96 takes you to the heart of Paris : the old Marais neighborhood, rue Oberkampf, Hôtel de Ville (the city hall of Paris), Châtelet, Notre Dame cathedral, St Michel, St Germain de Près, ending at the Montparnasse train station with trains leaving to the West of France.Bus 26 takes you through the bucolic East of Paris to the railroad stations Gare du Nord (Airport trains, Thalys, Eurostar), Gare de l'Est and Gare St Lazare - all of them being major train stations.Bus 60 takes you to the beautiful Buttes Chaumonts park nearby, and to Montmartre.Bus 61 will take you in 15-20 minutes to the Gare de Lyon and Gare d'Austerlitz (two major train stations). All the listed busses stop next to my place.If you enjoy biking, there is a Velib' station (public bikes) next to my place. I do expect my guests to leave my place perfectly cleaned.Sometimes, especially if you contact me in advance, I might be able to adjust my traveling to your dates. Or, if you're planning to come to Paris but don't know exactly when, check in with me and I may tell you when I'll be away next time.Please contact me through airbnb.Studio 30 m2 à louer dans Paris 20e, près du Père Lachaise, m° Gambetta ou Pelleport, dans quartier très sympa et vivant, lumineux, confortable sofa-lit pour deux, cuisine équipée d'une cuisinière à gaz, d'un frigo et d'une machine à laver, salle de bain avec baignoire, WC séparé ; ascenseur. Electricité, gaz, internet (wifi) compris.

Numéro d'enregistrement
7512000683681",https://www.airbnb.fr/rooms/75708/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210843_J1to0dvbJIgo%2FQWC&guests=1
373,74,74,Cosy studio in Bastille perfect for couple,Vous aurez le logement (appartement) rien que pour vous.,47€,47€,2 voyageurs,Studio,1 lit,1 salle de bain,"4,80", (5),1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Afficher les 12 équipements,"Colorful studio in Bastille district in the middle of Paris. This is perfect for 2 people as there is a double bed, a kitchen fully equiped with a bar and a clean bathroom. I let all my decoration and some stuff (speakers, pictures, some basic things for kitchen : oil, salt, peppers and so on...). You can smoke in the studio.

Le logement
This is a studio in the middle of Paris, this is really easy to reach any area as there is a lot of metro lines, buses (even night buses). The studio is located next to the river side and there are many shops and bars / restaurants very close.",https://www.airbnb.fr/rooms/34782579/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210848_1DcuXo7EU%2FoYOeR9&guests=1
374,75,75,Cosy apartment in the centre of Paris,Vous aurez le logement (appartement) rien que pour vous.,50€,50€,2 voyageurs,1 chambre,1 lit,1 salle de bain,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Afficher les 11 équipements,"Cute and very cosy apartment on the 6th floor with elevator.
Very well located right next to the famous cathedral Notre Dame (2min walking from metro Station Saint Michel) - 7 min walking to the well known district Saint Germain.

Kitchen with washing machine, stove, fridge , micro-wave and oven.
Spacious shower
Very comfortable 2 place sofa bed.
Very clean and calm.

Contact us for more details :)

Numéro d'enregistrement
7510504541924",https://www.airbnb.fr/rooms/42664994/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210853_F4qqKIL5DxLOjhRH&guests=1
375,76,76,Gorgeous Île Saint-Louis Apartment,Vous aurez le logement (appartement) rien que pour vous.,69€,69€,2 voyageurs,1 chambre,1 lit,1 salle de bain,"5,0 ",(12),1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Afficher les 25 équipements,"Our charming apartment is located on beautiful Île Saint-Louis, which is the perfect location to explore the center of Paris and have a gem to return to in the evening and relax after a day our in our vibrant city. Besides an amazing location and a tasteful interior, offer high quality bedding for your comfort. We are very passionate and experienced hosts and are happy to help you with any inquiries.

Le logement
Our lovely apartment divides into separate ares. The light flooded living area invites to relax on the comfortable sofa, enjoy a nice glass of wine or read a book. The fireplace is stocked with candles, so in the cold season you can spend a romantic evening on beautiful Île Saint-Louis. The dining area features a large table which comfortable fits four people. Our small kitchen is fully equipped to comfortably prepare a nice home-cooked meal. We also offer a Nespresso machine and an Aerocchino with complimentary Nespresso capsules, so you can enjoy a great coffee in the morning after a good rest. For your comfort the bedroom features a very comfortable double bed and high-quality bedding and sheets. Please note that the bedroom does not have a proper door, but a light-blocking curtain.

Accès des voyageurs
You will enjoy exclusive access to the entire apartment.",https://www.airbnb.fr/rooms/39816191/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210858_LP1zuDqhPW9c3Cfw&guests=1
376,77,77,Studio lumineux entièrement rénové avec vue,Vous aurez le logement (appartement) rien que pour vous.,77€,48€,2 voyageurs,Studio,1 lit,1 salle de bain,"4,81", (64),1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Afficher les 13 équipements,"Bienvenue dans mon appartement entièrement rénové !
Studio confortable et lumineux en plein coeur de Paris, dans le 11ème arrondissement entre République et Bastille.
C'est l'endroit idéal pour explorer la capitale - en couple ou seul, vous pourrez vous y détendre tranquillement.
L'appartement est très lumineux et aéré. Vous aurez une vue magnifique sur les toits parisiens.
Juste en face, se trouve le Marché Popincourt,- où vous pourrez aller faire vos courses !

Le logement
Le studio est situé au 6ème étage d'un immeuble traditionnel parisien (escalier et ascenseur).

L'appartement a été entièrement rénové, il est donc totalement équipé pour vous assurer un séjour confortable, que vous souhaitiez vous détendre ou travailler.

L'appartement est nettoyé par des professionnels et les draps et serviettes de toilette de qualité hôtelière sont livrés avant votre arrivée, afin que vous puissiez vous détendre au maximum.
Il y a une cuisine entièrement équipée avec tout ce dont vous avez besoin pour profiter d'un repas tout en explorant Paris.

Le canapé-lit est confortable, et peut accueillir 2 personnes et sera préparé avant votre arrivée. Les fenêtres laissent entrer la lumière naturelle, et l'été une brise agréable si vous souhaitez aérer.
Vous pouvez abaisser les stores électriques pour être dans l'obscurité afin de passer une bonne nuit.

N'hésitez pas à consulter les livres, présents dans la bibliothèque murale de cette chambre, pendant votre séjour.

Salle de bain : Depuis l'entrée, vous pouvez accéder à une petite salle de bains moderne et fonctionnelle. Il y a une douche et un lavabo, séparés des WC qui se trouvent derrière la porte voisine dans le couloir vers la cuisine. Vous avez une machine à laver à l'intérieur.

Cuisine : La cuisine est entièrement équipée et fonctionnelle, vous offrant la possibilité de cuisiner en voyage comme à la maison. Il y a un four, un réfrigérateur/congélateur et une plaque de cuisson prête à l'emploi.

Accès des voyageurs
Les voyageurs auront accès à l'appartement entier durant leur séjour

Autres remarques
Services :
- Assistance 24h/24 et 7j/7
- Nettoyage professionnel
- Linge de lit et de toilette de qualité hôtelière
- Check in 24 heures sur 24, 7 jours sur 7, avec lockbox pour les clés.

Cuisine :
- Entièrement équipée
- Four
- Cuisinière
- Réfrigérateur

Numéro d'enregistrement
7511102022233",https://www.airbnb.fr/rooms/26216959/amenities?location=Paris&adults=2&check_in=2020-06-15&check_out=2020-06-21&source_impression_id=p3_1591210863_6kxHF0CfBYC2GyNY&guests=1
